FCID	SPDID
3600224000	1002
1100007000	1009
1001240000	1011
9500362000	1026
8601200000	1088
8602000000	1088
9500115000	1093
2402215000	1019
801375000	1023
2405253000	1026
7000145000	1042
4000096000	1043
5000386000	1043
9500110000	1056
9500265000	1080
8601100000	1088
9500335000	1069
1500124000	1069
2003128000	1080
9500390000	1084
1001241000	1087
3600223000	1003
9500116000	1093
9500372000	1096
2402020000	1020
401204000	1035
401118000	1035
3100047000	1044
2402023000	1021
9500218000	1032
601043000	1033
3400293000	1045
9500363000	1060
1500402000	1069
9500373000	1096
1003180000	1011
801377000	1023
9500188000	1032
301237000	1038
2202086000	1037
1500127000	1069
500064000	1105
1500120000	1069
9500219000	1032
1100011001	1009
2402023001	1021
902357001	1025
9500362001	1060
103366001	1068
1500325001	1069
1500232001	1069
1100010001	1085
2301235000	1017
2202085000	1037
9500054000	1056
4000097000	1043
1002200000	1087
101078000	1030
1304175000	1008
600349000	1053
9500186000	1060
1500026000	1069
401355000	1035
1002207000	1087
2402245000	1019
1202260000	1010
9500397000	1032
1500123000	1069
500069000	1027
902088000	1025
2201073000	1026
1400003000	1054
902135000	1025
1100266000	1009
902356000	1025
8000160000	1052
602255000	1032
802272000	1026
802270000	1026
1100011000	1009
2001163000	1080
1201090000	1010
3700222501	1002
1901334000	1028
1304178000	1008
1307359000	1015
7000146000	1042
2403280000	1018
2403281000	1018
1500401000	1069
1304179000	1089
103300000	1068
1203285000	1017
1500324000	1069
3800221000	1046
8000161000	1108
3100047001	1044
2301236000	1079
5000385000	1043
103366000	1068
8000157000	1051
1001369000	1011
2302183000	1035
3500341000	1047
601257000	1032
1400391000	1054
8000162000	1108
2001336000	1080
3200171000	1047
2403279000	1018
500061000	1028
101314000	1031
401205000	1035
9500263000	1032
1100266001	1009
101078001	1030
901399000	1013
600348000	1053
3400291000	1045
2002365000	1080
1307360000	1015
1202230000	1010
1301320000	1016
2402290000	1019
9500275000	1026
1500233000	1069
2002364000	1080
3400292000	1045
1500403000	1069
1302057000	1008
1202012000	1010
1800002000	1069
2001319000	1080
901075000	1014
4000094000	1049
9500363001	1060
9500244001	1080
2100228000	1039
1304195000	1008
902357000	1025
2303141000	1008
1203287000	1017
2201019000	1026
402389000	1031
301165000	1038
302103000	1039
603182000	1032
4000097001	1043
602033000	1033
5000384000	1043
8000159000	1052
603098000	1032
1500325000	1069
2402283000	1019
1307130000	1013
401367000	1028
402117000	1028
3100046000	1044
1304176001	1008
2002330000	1080
1301055000	1016
500083000	1029
103299000	1068
1400282000	1054
1500404000	1069
1203286000	1017
2302153000	1033
1500402001	1069
1202013000	1010
7000145001	1042
901187000	1014
500072000	1027
1202260001	1010
1003181000	1011
2402289000	1019
1400081000	1054
1001241001	1087
1500126000	1069
101079000	1030
2402277000	1019
1500026001	1069
401313000	1035
1100010000	1085
601043001	1033
1500323000	1069
101050000	1031
9500109000	1056
402229000	1039
4000093000	1043
103082000	1068
3500340000	1047
1302057001	1008
5000386001	1043
1203286001	1017
2403281001	1018
9500335001	1069
1002206000	1011
902308000	1025
3600224001	1002
8000158000	1051
7000147000	1042
302239000	1038
602255001	1032
2405252000	1026
2001337000	1080
6000305000	1043
3600223001	1003
103300001	1068
801378000	1023
9500016000	1056
1203288000	1017
402018000	1028
1400269000	1054
1002199000	1011
902309000	1025
1902354000	1026
2202322000	1037
602037000	1033
401248000	1035
1500121000	1069
1400278000	1054
3600225001	1002
302198000	1040
1100268001	1085
2402024001	1021
7000147001	1042
1100009000	1009
801379000	1023
3400293001	1045
6000304000	1043
103407000	1068
2402246000	1019
103297000	1068
603039000	1033
2402247000	1019
2402215001	1019
4000095000	1043
402194000	1031
1500328000	1069
1500324001	1069
2002365001	1080
1202014001	1010
1001107000	1012
1500345000	1069
1307132000	1015
103017000	1068
9500244000	1080
1400059000	1054
802234000	1026
1400092000	1054
901400000	1013
2201196000	1026
802148000	1026
1203288001	1017
101388000	1031
1400111000	1054
1202262001	1010
2302154000	1034
2403060000	1018
1901184000	1028
101251000	1031
600347000	1053
3900312000	1043
2401211000	1008
1400113000	1054
1400114000	1054
1001370000	1087
1202012001	1010
9500276000	1080
1302137000	1008
2001319001	1080
1100268000	1085
1500125000	1069
1100008000	1009
1203285001	1017
2403346000	1018
1100267000	1009
9500306000	1069
401138000	1035
1304176000	1008
1400155000	1054
1500231000	1069
103406000	1068
