SPD_ID	Putrescine
1002	0
1003	2
1004	1
1005	0
1006	135
1008	106
1009	144
1010	4
1011	1302
1012	466
1013	0
1014	5
1015	11
1016	11
1017	12
1018	46
1019	903
1020	53
1021	323
1023	347
1024	294
1025	75
1026	85
1027	86
1028	113
1029	49
1030	56
1031	27
1032	64
1033	4
1034	65
1035	50
1036	146
1037	69
1038	21
1039	119
1040	706
1042	2
1043	12
1044	78
1045	15
1046	251
1047	11
1048	863
1049	143
1050	23
1051	8
1052	119
1053	332
1054	90
1056	5
1058	0
1060	0
1061	0
1063	19
1064	24
1065	12
1067	24
1068	118
1069	9
1070	520
1071	21
1072	0
1073	245
1074	455
1076	0
1077	0
1078	0
1079	0
1080	0
1081	0
1083	0
1084	0
1085	58
1086	0
1087	621
1088	0
1089	83
1090	44
1091	189
1092	0
1093	1
1094	3
1095	18
1096	0
1098	38
1099	22
1100	10
1101	20
1102	863
1103	19
1104	27
1105	124
1106	243
1107	15
1108	285
