SPD_ID	Spermidine
1002	2
1003	3
1004	2
1005	0
1006	47
1008	87
1009	193
1010	42
1011	35
1012	34
1013	8
1014	81
1015	41
1016	35
1017	11
1018	30
1019	199
1020	19
1021	60
1023	20
1024	58
1025	44
1026	150
1027	82
1028	309
1029	207
1030	46
1031	92
1032	449
1033	134
1034	60
1035	185
1036	50
1037	184
1038	181
1039	651
1040	2440
1042	0
1043	37
1044	45
1045	22
1046	106
1047	34
1048	26
1049	218
1050	23
1051	54
1052	25
1053	854
1054	252
1056	17
1058	0
1060	0
1061	6
1063	35
1064	129
1065	49
1067	167
1068	97
1069	16
1070	298
1071	48
1072	0
1073	171
1074	259
1076	0
1077	0
1078	0
1079	0
1080	0
1081	0
1083	0
1084	0
1085	14
1086	0
1087	13
1088	0
1089	2
1090	0
1091	3
1092	0
1093	0
1094	4
1095	23
1096	1
1098	41
1099	62
1100	10
1101	19
1102	26
1103	12
1104	29
1105	188
1106	160
1107	21
1108	7
